time_stamp,sensor_1,sensor_2
2020/12/17 19:41:21.994,-2745,0
2020/12/17 19:41:22.180,-2745,0
2020/12/17 19:41:22.413,-2745,0
2020/12/17 19:41:22.615,-2745,0
2020/12/17 19:41:22.836,-2745,0
2020/12/17 19:41:23.047,-2742,0
2020/12/17 19:41:23.230,-2745,0
2020/12/17 19:41:23.412,-2745,0
2020/12/17 19:41:23.615,-2742,0
2020/12/17 19:41:23.813,-2742,0
2020/12/17 19:41:23.996,-2742,0
2020/12/17 19:41:24.197,-2742,0
2020/12/17 19:41:24.396,-2742,0
2020/12/17 19:41:24.599,-2742,0
2020/12/17 19:41:24.798,-2742,0
2020/12/17 19:41:24.992,-2742,0
2020/12/17 19:41:25.206,-2742,0
2020/12/17 19:41:25.392,-2745,0
2020/12/17 19:41:25.595,-2760,0
2020/12/17 19:41:25.796,-2828,0
2020/12/17 19:41:25.993,-2843,0
2020/12/17 19:41:26.193,-2842,0
2020/12/17 19:41:26.397,-2842,0
2020/12/17 19:41:26.616,-2842,0
2020/12/17 19:41:26.790,-2842,0
2020/12/17 19:41:26.991,-2842,0
2020/12/17 19:41:27.191,-2845,0
2020/12/17 19:41:27.380,-2842,0
2020/12/17 19:41:27.582,-2842,0
2020/12/17 19:41:27.784,-2865,0
2020/12/17 19:41:27.981,-2900,0
2020/12/17 19:41:28.219,-2925,0
2020/12/17 19:41:28.402,-2936,0
2020/12/17 19:41:28.585,-2938,0
2020/12/17 19:41:28.783,-2938,0
2020/12/17 19:41:29.013,-2938,0
2020/12/17 19:41:29.197,-2938,0
2020/12/17 19:41:29.388,-2938,0
2020/12/17 19:41:29.617,-2938,0
2020/12/17 19:41:29.832,-2938,0
2020/12/17 19:41:30.031,-2938,0
2020/12/17 19:41:30.254,-2938,0
2020/12/17 19:41:30.450,-2934,0
2020/12/17 19:41:30.632,-2825,0
2020/12/17 19:41:30.813,-2667,0
2020/12/17 19:41:31.002,-2554,0
2020/12/17 19:41:31.194,-2529,0
2020/12/17 19:41:31.392,-2547,0
2020/12/17 19:41:31.595,-2586,0
2020/12/17 19:41:31.796,-2522,0
2020/12/17 19:41:31.998,-1960,0
2020/12/17 19:41:32.199,-1373,0
2020/12/17 19:41:32.393,-318,0
