time_stamp,sensor_3,sensor_4
2020/12/17 19:41:23.719,0,-2123
2020/12/17 19:41:23.914,0,-2120
2020/12/17 19:41:23.099,0,-2123
2020/12/17 19:41:24.306,0,-2123
2020/12/17 19:41:24.505,0,-2120
2020/12/17 19:41:24.707,0,-2123
2020/12/17 19:41:24.902,0,-2123
2020/12/17 19:41:24.095,0,-2123
2020/12/17 19:41:25.306,0,-2121
2020/12/17 19:41:25.493,0,-2120
2020/12/17 19:41:25.696,0,-2120
2020/12/17 19:41:25.903,0,-2120
2020/12/17 19:41:25.095,0,-2123
2020/12/17 19:41:26.294,0,-2123
2020/12/17 19:41:26.504,0,-2122
2020/12/17 19:41:26.718,0,-2145
2020/12/17 19:41:26.891,0,-2168
2020/12/17 19:41:26.098,0,-2182
2020/12/17 19:41:27.299,0,-2191
2020/12/17 19:41:27.481,0,-2193
2020/12/17 19:41:27.688,0,-2193
2020/12/17 19:41:27.887,0,-2192
2020/12/17 19:41:27.087,0,-2195
2020/12/17 19:41:28.328,0,-2195
2020/12/17 19:41:28.503,0,-2192
2020/12/17 19:41:28.694,0,-2192
2020/12/17 19:41:28.887,0,-2192
2020/12/17 19:41:29.120,0,-2192
2020/12/17 19:41:29.306,0,-2192
2020/12/17 19:41:29.491,0,-2192
2020/12/17 19:41:29.720,0,-2195
2020/12/17 19:41:29.933,0,-2179
2020/12/17 19:41:30.141,0,-2144
2020/12/17 19:41:30.357,0,-2137
2020/12/17 19:41:30.558,0,-2134
2020/12/17 19:41:30.736,0,-2136
2020/12/17 19:41:30.919,0,-2099
2020/12/17 19:41:31.111,0,-878
2020/12/17 19:41:31.296,0,-119
2020/12/17 19:41:31.494,-1289,0
2020/12/17 19:41:31.695,-1624,0
2020/12/17 19:41:31.906,-1750,0
2020/12/17 19:41:31.098,-1843,0
2020/12/17 19:41:32.307,-1941,0
2020/12/17 19:41:32.493,-2010,0
